producto,precio,cantidad,categoria,fecha_venta,tienda,cliente,descuento
PlayStation5,800,3,Electronica,2024-01-15,SagaFalabella,Cliente 1,40
Xbox,600,1,,2024-03-20,Ripley,Cliente 2,70
Nintendo Switch,400,2,Electronica,2024-05-10,Oeschle,Cliente 3,30
Samsung TV,1000,1,Electronica,2024-02-17,SagaFalabella,Cliente 4,
Apple iPhone,1200,2,Electronica,2024-06-01,Ripley,Cliente 5,100
Lenovo Laptop,900,1,Electronica,2024-07-11,Oeschle,Cliente 1,80
Sony Headphones,150,5,Electronica,2024-04-22,SagaFalabella,Cliente 2,10
HP Printer,250,3,Electronica,2024-03-09,Ripley,Cliente 3,25
Asus Monitor,350,2,,2024-07-19,Oeschle,Cliente 4,15
Razer Mouse,100,6,,2024-06-30,SagaFalabella,Cliente 5,
Adidas Shoes,120,4,Ropa,2024-02-13,Ripley,Cliente 1,20
Nike Jacket,200,2,Ropa,2024-03-25,Oeschle,Cliente 2,15
Levi's Jeans,90,3,Ropa,2024-04-10,SagaFalabella,Cliente 3,10
Puma Hat,50,7,Ropa,2024-05-07,Ripley,Cliente 4,5
H&M T-shirt,30,10,Ropa,2024-06-14,Oeschle,Cliente 5,
PlayStation5,800,1,Electronica,2024-02-05,SagaFalabella,Cliente 1,30
Xbox,600,2,Electronica,2024-03-12,Ripley,Cliente 2,60
Nintendo Switch,400,3,Electronica,2024-05-20,Oeschle,Cliente 3,25
Samsung TV,1000,2,Electronica,2024-02-27,SagaFalabella,Cliente 4,45
Apple iPhone,1200,1,Electronica,2024-06-11,Ripley,Cliente 5,
Lenovo Laptop,900,3,Electronica,2024-07-21,Oeschle,Cliente 1,70
Sony Headphones,150,4,Electronica,2024-04-12,SagaFalabella,Cliente 2,5
HP Printer,250,2,Electronica,2024-03-19,Ripley,Cliente 3,20
Asus Monitor,350,3,Electronica,2024-07-29,Oeschle,Cliente 4,10
Razer Mouse,100,8,Electronica,2024-06-10,SagaFalabella,Cliente 5,10
Adidas Shoes,120,2,Ropa,2024-02-23,Ripley,Cliente 1,15
Nike Jacket,200,1,Ropa,2024-03-15,Oeschle,Cliente 2,10
Levi's Jeans,90,4,,2024-04-20,SagaFalabella,Cliente 3,5
Puma Hat,50,5,Ropa,2024-05-17,Ripley,Cliente 4,
H&M T-shirt,30,12,Ropa,2024-06-24,Oeschle,Cliente 5,
PlayStation5,800,2,Electronica,2024-02-15,SagaFalabella,Cliente 1,20
Xbox,600,3,Electronica,2024-03-22,Ripley,Cliente 2,50
Nintendo Switch,400,1,,2024-05-30,Oeschle,Cliente 3,20
Samsung TV,1000,3,Electronica,2024-02-07,SagaFalabella,Cliente 4,40
Apple iPhone,1200,3,Electronica,2024-06-21,Ripley,Cliente 5,80
Lenovo Laptop,900,2,Electronica,2024-07-31,Oeschle,Cliente 1,
Sony Headphones,150,6,Electronica,2024-04-02,SagaFalabella,Cliente 2,5
HP Printer,250,1,,2024-03-29,Ripley,Cliente 3,15
Asus Monitor,350,4,Electronica,2024-07-09,Oeschle,Cliente 4,5
Sandalias Crocs,40,2,Ropa,2024-03-05,PlazaVea,Cliente 5,5
